timestamp,rec_value,rec_number,send_value,send_number,rec_avg,send_avg
2022-10-02,6.323587576345075,4,748.1892378895064,7.0,1.5808968940862687,106.88417684135807
2022-10-09,970.1227965053193,7,5.942792516337251,4.0,138.58897092933134,1.4856981290843128
2022-10-16,4922.594098555239,7,980.2801668891261,9.0,703.2277283650341,108.92001854323624
2022-10-23,42.66794698841113,4,8196.799477475999,5.0,10.666986747102783,1639.3598954952
2022-10-30,14.598454525526755,2,6.967213919218772,3.0,7.299227262763377,2.3224046397395908
2022-11-06,1462.8618430757076,14,83.48904836101198,10.0,104.49013164826484,8.348904836101198
2022-11-13,7018.493705157924,18,3108.171358574251,33.0,389.916316953218,94.18701086588639
2022-11-20,2638.74385656336,13,225.2482720432976,13.0,202.98029665872002,17.326790157176738
2022-11-27,5674.561915924112,15,222.48242689211622,5.0,378.3041277282742,44.496485378423245
2022-12-04,3445.5991952650866,14,27.303093891937255,5.0,246.11422823322047,5.460618778387451
2022-12-11,3508.590780900591,18,713.2871729657041,10.0,194.92171005003286,71.32871729657042
2022-12-18,555.5411933952087,39,675.6400807189425,23.0,14.24464598449253,29.37565568343228
2022-12-25,4852.808334050152,38,480.47324680918155,25.0,127.70548247500399,19.218929872367262
2023-01-01,1697.3255720658908,14,540.88829490705,6.0,121.23754086184934,90.14804915117499
2023-01-08,2172.5645533909046,23,7439.179224958551,38.0,94.4593284083002,195.76787434101448
2023-01-15,152.84414174779127,27,7494.368308515752,24.0,5.660894138807084,312.26534618815634
2023-01-22,3260.3941981583184,32,706.2316398568937,18.0,101.88731869244745,39.23509110316076
2023-01-29,5.087652003427401,9,44.27395195531453,7.0,0.565294667047489,6.324850279330647
2023-02-05,0.0,5,0.0,2.0,0.0,0.0
